sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
119,2026-09-10,2026-09-11,final,Bunia,Ituri,1538,485,268128,31.5,573.6
119,2026-09-10,2026-09-11,final,Rwampara,Ituri,1006,349,134068,34.7,750.4
119,2026-09-10,2026-09-11,final,Nizi,Ituri,727,273,141651,37.6,513.2
119,2026-09-10,2026-09-11,final,Mongbwalu,Ituri,649,295,133371,45.5,486.6
119,2026-09-10,2026-09-11,final,Katwa,Nord-Kivu,499,320,411346,64.1,121.3
119,2026-09-10,2026-09-11,final,Mangala,Ituri,310,146,92662,47.1,334.5
119,2026-09-10,2026-09-11,final,Lita,Ituri,256,125,128175,48.8,199.7
119,2026-09-10,2026-09-11,final,Nia-Nia,Ituri,229,116,71361,50.7,320.9
119,2026-09-10,2026-09-11,final,Butembo,Nord-Kivu,225,150,316182,66.7,71.2
119,2026-09-10,2026-09-11,final,Beni,Nord-Kivu,199,149,382409,74.9,52.0
119,2026-09-10,2026-09-11,final,Bambu,Ituri,178,39,148752,21.9,119.7
119,2026-09-10,2026-09-11,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
119,2026-09-10,2026-09-11,final,Komanda,Ituri,123,82,184816,66.7,66.6
119,2026-09-10,2026-09-11,final,Musienene,Nord-Kivu,110,58,249370,52.7,44.1
119,2026-09-10,2026-09-11,final,Isiro,Haut-Uele,95,40,,42.1,
119,2026-09-10,2026-09-11,final,Wamba,Haut-Uele,89,33,,37.1,
119,2026-09-10,2026-09-11,final,Fataki,Ituri,78,30,128262,38.5,60.8
119,2026-09-10,2026-09-11,final,Tchomia,Ituri,65,25,110386,38.5,58.9
119,2026-09-10,2026-09-11,final,Pawa,Haut-Uele,52,25,,48.1,
119,2026-09-10,2026-09-11,final,Mandima,Ituri,44,24,138196,54.5,31.8
119,2026-09-10,2026-09-11,final,Damas,Ituri,36,9,116731,25.0,30.8
119,2026-09-10,2026-09-11,final,Kilo,Ituri,33,12,55902,36.4,59.0
119,2026-09-10,2026-09-11,final,Lolwa,Ituri,31,8,45779,25.8,67.7
119,2026-09-10,2026-09-11,final,Boma,Haut-Uele,29,14,,48.3,
119,2026-09-10,2026-09-11,final,Kyondo,Nord-Kivu,29,17,215154,58.6,13.5
119,2026-09-10,2026-09-11,final,Kalunguta,Nord-Kivu,24,11,199559,45.8,12.0
119,2026-09-10,2026-09-11,final,Mabalako,Nord-Kivu,18,8,186148,44.4,9.7
119,2026-09-10,2026-09-11,final,Mambasa,Ituri,17,7,95906,41.2,17.7
119,2026-09-10,2026-09-11,final,Biena,Nord-Kivu,15,6,,40.0,
119,2026-09-10,2026-09-11,final,Drodro,Ituri,15,7,154777,46.7,9.7
119,2026-09-10,2026-09-11,final,Masereka,Nord-Kivu,15,6,177664,40.0,8.4
119,2026-09-10,2026-09-11,final,Vuhovi,Nord-Kivu,14,5,121520,35.7,11.5
119,2026-09-10,2026-09-11,final,Logo,Ituri,13,5,240552,38.5,5.4
119,2026-09-10,2026-09-11,final,Aungba,Ituri,12,5,158181,41.7,7.6
119,2026-09-10,2026-09-11,final,Adja,Ituri,11,1,,9.1,
119,2026-09-10,2026-09-11,final,Oicha,Nord-Kivu,11,7,336160,63.6,3.3
119,2026-09-10,2026-09-11,final,Rimba,Ituri,11,4,211373,36.4,5.2
119,2026-09-10,2026-09-11,final,Lubero,Nord-Kivu,10,4,,40.0,
119,2026-09-10,2026-09-11,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
119,2026-09-10,2026-09-11,final,Ariwara,Ituri,8,2,,25.0,
119,2026-09-10,2026-09-11,final,Aru,Ituri,8,6,181110,75.0,4.4
119,2026-09-10,2026-09-11,final,Manguredjipa,Nord-Kivu,8,3,,37.5,
119,2026-09-10,2026-09-11,final,Gethy,Ituri,7,3,186541,42.9,3.8
119,2026-09-10,2026-09-11,final,Bafwasende,Tshopo,4,0,,0.0,
119,2026-09-10,2026-09-11,final,Kabondo,Tshopo,4,1,,25.0,
119,2026-09-10,2026-09-11,final,Mahagi,Ituri,4,1,,25.0,
119,2026-09-10,2026-09-11,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
119,2026-09-10,2026-09-11,final,Mangobo,Tshopo,3,2,,66.7,
119,2026-09-10,2026-09-11,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
119,2026-09-10,2026-09-11,final,Mutwanga,Nord-Kivu,3,2,,66.7,
119,2026-09-10,2026-09-11,final,Boga,Ituri,2,2,,100.0,
119,2026-09-10,2026-09-11,final,Ganga,Bas-Uele,2,2,,100.0,
119,2026-09-10,2026-09-11,final,Kambala,Ituri,2,0,123772,0.0,1.6
119,2026-09-10,2026-09-11,final,Rungu,Haut-Uele,2,1,,50.0,
119,2026-09-10,2026-09-11,final,Bulu,Sud-Ubangi,1,1,,100.0,
119,2026-09-10,2026-09-11,final,Buta,Bas-Uele,1,1,,100.0,
119,2026-09-10,2026-09-11,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
119,2026-09-10,2026-09-11,final,Kayna,Nord-Kivu,1,0,,0.0,
119,2026-09-10,2026-09-11,final,Lubunga,Tshopo,1,0,,0.0,
119,2026-09-10,2026-09-11,final,Tshopo,Tshopo,1,0,,0.0,
119,2026-09-10,2026-09-11,final,Viadana,Bas-Uele,1,0,,0.0,
119,2026-09-10,2026-09-11,final,Wanie-Rukula,Tshopo,1,1,,100.0,
119,2026-09-10,2026-09-11,final,A ventiler,Ituri,,427,,,
