sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
117,2026-09-08,2026-09-09,final,Bunia,Ituri,1523,476,268128,31.3,568.0
117,2026-09-08,2026-09-09,final,Rwampara,Ituri,999,348,134068,34.8,745.1
117,2026-09-08,2026-09-09,final,Nizi,Ituri,723,273,141651,37.8,510.4
117,2026-09-08,2026-09-09,final,Mongbwalu,Ituri,640,293,133371,45.8,479.9
117,2026-09-08,2026-09-09,final,Katwa,Nord-Kivu,477,305,411346,63.9,116.0
117,2026-09-08,2026-09-09,final,Mangala,Ituri,297,141,92662,47.5,320.5
117,2026-09-08,2026-09-09,final,Lita,Ituri,247,122,128175,49.4,192.7
117,2026-09-08,2026-09-09,final,Nia-Nia,Ituri,228,115,71361,50.4,319.5
117,2026-09-08,2026-09-09,final,Butembo,Nord-Kivu,217,148,316182,68.2,68.6
117,2026-09-08,2026-09-09,final,Beni,Nord-Kivu,185,138,382409,74.6,48.4
117,2026-09-08,2026-09-09,final,Bambu,Ituri,176,39,148752,22.2,118.3
117,2026-09-08,2026-09-09,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
117,2026-09-08,2026-09-09,final,Komanda,Ituri,118,80,184816,67.8,63.8
117,2026-09-08,2026-09-09,final,Musienene,Nord-Kivu,101,55,249370,54.5,40.5
117,2026-09-08,2026-09-09,final,Isiro,Haut-Uele,92,37,,40.2,
117,2026-09-08,2026-09-09,final,Wamba,Haut-Uele,86,31,,36.0,
117,2026-09-08,2026-09-09,final,Fataki,Ituri,78,30,128262,38.5,60.8
117,2026-09-08,2026-09-09,final,Tchomia,Ituri,63,25,110386,39.7,57.1
117,2026-09-08,2026-09-09,final,Pawa,Haut-Uele,46,23,,50.0,
117,2026-09-08,2026-09-09,final,Mandima,Ituri,44,24,138196,54.5,31.8
117,2026-09-08,2026-09-09,final,Kilo,Ituri,33,12,55902,36.4,59.0
117,2026-09-08,2026-09-09,final,Damas,Ituri,32,9,116731,28.1,27.4
117,2026-09-08,2026-09-09,final,Boma,Haut-Uele,29,14,,48.3,
117,2026-09-08,2026-09-09,final,Kyondo,Nord-Kivu,25,17,215154,68.0,11.6
117,2026-09-08,2026-09-09,final,Lolwa,Ituri,25,7,45779,28.0,54.6
117,2026-09-08,2026-09-09,final,Kalunguta,Nord-Kivu,20,9,199559,45.0,10.0
117,2026-09-08,2026-09-09,final,Mambasa,Ituri,17,7,95906,41.2,17.7
117,2026-09-08,2026-09-09,final,Drodro,Ituri,15,7,154777,46.7,9.7
117,2026-09-08,2026-09-09,final,Masereka,Nord-Kivu,15,6,177664,40.0,8.4
117,2026-09-08,2026-09-09,final,Logo,Ituri,13,5,240552,38.5,5.4
117,2026-09-08,2026-09-09,final,Aungba,Ituri,12,5,158181,41.7,7.6
117,2026-09-08,2026-09-09,final,Adja,Ituri,11,1,,9.1,
117,2026-09-08,2026-09-09,final,Rimba,Ituri,11,4,211373,36.4,5.2
117,2026-09-08,2026-09-09,final,Mabalako,Nord-Kivu,10,7,186148,70.0,5.4
117,2026-09-08,2026-09-09,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
117,2026-09-08,2026-09-09,final,Vuhovi,Nord-Kivu,10,5,121520,50.0,8.2
117,2026-09-08,2026-09-09,final,Biena,Nord-Kivu,9,4,,44.4,
117,2026-09-08,2026-09-09,final,Oicha,Nord-Kivu,9,6,336160,66.7,2.7
117,2026-09-08,2026-09-09,final,Ariwara,Ituri,8,2,,25.0,
117,2026-09-08,2026-09-09,final,Aru,Ituri,8,6,181110,75.0,4.4
117,2026-09-08,2026-09-09,final,Gethy,Ituri,7,3,186541,42.9,3.8
117,2026-09-08,2026-09-09,final,Lubero,Nord-Kivu,7,4,,57.1,
117,2026-09-08,2026-09-09,final,Bafwasende,Tshopo,4,0,,0.0,
117,2026-09-08,2026-09-09,final,Kabondo,Tshopo,4,1,,25.0,
117,2026-09-08,2026-09-09,final,Mahagi,Ituri,4,1,,25.0,
117,2026-09-08,2026-09-09,final,Manguredjipa,Nord-Kivu,4,3,,75.0,
117,2026-09-08,2026-09-09,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
117,2026-09-08,2026-09-09,final,Mangobo,Tshopo,3,2,,66.7,
117,2026-09-08,2026-09-09,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
117,2026-09-08,2026-09-09,final,Boga,Ituri,2,2,,100.0,
117,2026-09-08,2026-09-09,final,Ganga,Bas-Uele,2,2,,100.0,
117,2026-09-08,2026-09-09,final,Kambala,Ituri,2,0,123772,0.0,1.6
117,2026-09-08,2026-09-09,final,Mutwanga,Nord-Kivu,2,2,,100.0,
117,2026-09-08,2026-09-09,final,Rungu,Haut-Uele,2,1,,50.0,
117,2026-09-08,2026-09-09,final,Buta,Bas-Uele,1,1,,100.0,
117,2026-09-08,2026-09-09,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
117,2026-09-08,2026-09-09,final,Kayna,Nord-Kivu,1,0,,0.0,
117,2026-09-08,2026-09-09,final,Lubunga,Tshopo,1,0,,0.0,
117,2026-09-08,2026-09-09,final,Tshopo,Tshopo,1,0,,0.0,
117,2026-09-08,2026-09-09,final,Viadana,Bas-Uele,1,0,,0.0,
117,2026-09-08,2026-09-09,final,Wanie-Rukula,Tshopo,1,1,,100.0,
117,2026-09-08,2026-09-09,final,A ventiler,Ituri,,408,,,
