sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
120,2026-09-11,2026-09-12,final,Bunia,Ituri,1550,487,268128,31.4,578.1
120,2026-09-11,2026-09-12,final,Rwampara,Ituri,1007,349,134068,34.7,751.1
120,2026-09-11,2026-09-12,final,Nizi,Ituri,729,273,141651,37.4,514.6
120,2026-09-11,2026-09-12,final,Mongbwalu,Ituri,654,296,133371,45.3,490.4
120,2026-09-11,2026-09-12,final,Katwa,Nord-Kivu,513,330,411346,64.3,124.7
120,2026-09-11,2026-09-12,final,Mangala,Ituri,310,146,92662,47.1,334.5
120,2026-09-11,2026-09-12,final,Lita,Ituri,256,125,128175,48.8,199.7
120,2026-09-11,2026-09-12,final,Nia-Nia,Ituri,232,117,71361,50.4,325.1
120,2026-09-11,2026-09-12,final,Butembo,Nord-Kivu,230,152,316182,66.1,72.7
120,2026-09-11,2026-09-12,final,Beni,Nord-Kivu,208,156,382409,75.0,54.4
120,2026-09-11,2026-09-12,final,Bambu,Ituri,179,39,148752,21.8,120.3
120,2026-09-11,2026-09-12,final,Komanda,Ituri,127,84,184816,66.1,68.7
120,2026-09-11,2026-09-12,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
120,2026-09-11,2026-09-12,final,Musienene,Nord-Kivu,113,59,249370,52.2,45.3
120,2026-09-11,2026-09-12,final,Isiro,Haut-Uele,96,41,,42.7,
120,2026-09-11,2026-09-12,final,Wamba,Haut-Uele,89,33,,37.1,
120,2026-09-11,2026-09-12,final,Fataki,Ituri,78,30,128262,38.5,60.8
120,2026-09-11,2026-09-12,final,Tchomia,Ituri,68,25,110386,36.8,61.6
120,2026-09-11,2026-09-12,final,Pawa,Haut-Uele,57,25,,43.9,
120,2026-09-11,2026-09-12,final,Mandima,Ituri,46,24,138196,52.2,33.3
120,2026-09-11,2026-09-12,final,Damas,Ituri,36,9,116731,25.0,30.8
120,2026-09-11,2026-09-12,final,Kilo,Ituri,33,12,55902,36.4,59.0
120,2026-09-11,2026-09-12,final,Lolwa,Ituri,31,8,45779,25.8,67.7
120,2026-09-11,2026-09-12,final,Boma,Haut-Uele,29,14,,48.3,
120,2026-09-11,2026-09-12,final,Kalunguta,Nord-Kivu,29,12,199559,41.4,14.5
120,2026-09-11,2026-09-12,final,Kyondo,Nord-Kivu,29,18,215154,62.1,13.5
120,2026-09-11,2026-09-12,final,Mabalako,Nord-Kivu,19,9,186148,47.4,10.2
120,2026-09-11,2026-09-12,final,Masereka,Nord-Kivu,19,8,177664,42.1,10.7
120,2026-09-11,2026-09-12,final,Mambasa,Ituri,17,7,95906,41.2,17.7
120,2026-09-11,2026-09-12,final,Vuhovi,Nord-Kivu,16,5,121520,31.3,13.2
120,2026-09-11,2026-09-12,final,Biena,Nord-Kivu,15,6,,40.0,
120,2026-09-11,2026-09-12,final,Drodro,Ituri,15,7,154777,46.7,9.7
120,2026-09-11,2026-09-12,final,Lubero,Nord-Kivu,15,7,,46.7,
120,2026-09-11,2026-09-12,final,Logo,Ituri,13,5,240552,38.5,5.4
120,2026-09-11,2026-09-12,final,Aungba,Ituri,12,5,158181,41.7,7.6
120,2026-09-11,2026-09-12,final,Adja,Ituri,11,1,,9.1,
120,2026-09-11,2026-09-12,final,Oicha,Nord-Kivu,11,7,336160,63.6,3.3
120,2026-09-11,2026-09-12,final,Rimba,Ituri,11,4,211373,36.4,5.2
120,2026-09-11,2026-09-12,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
120,2026-09-11,2026-09-12,final,Ariwara,Ituri,8,2,,25.0,
120,2026-09-11,2026-09-12,final,Aru,Ituri,8,6,181110,75.0,4.4
120,2026-09-11,2026-09-12,final,Manguredjipa,Nord-Kivu,8,3,,37.5,
120,2026-09-11,2026-09-12,final,Gethy,Ituri,7,3,186541,42.9,3.8
120,2026-09-11,2026-09-12,final,Bafwasende,Tshopo,5,1,,20.0,
120,2026-09-11,2026-09-12,final,Mutwanga,Nord-Kivu,5,2,,40.0,
120,2026-09-11,2026-09-12,final,Kabondo,Tshopo,4,1,,25.0,
120,2026-09-11,2026-09-12,final,Mahagi,Ituri,4,1,,25.0,
120,2026-09-11,2026-09-12,final,Ganga,Bas-Uele,3,2,,66.7,
120,2026-09-11,2026-09-12,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
120,2026-09-11,2026-09-12,final,Mangobo,Tshopo,3,2,,66.7,
120,2026-09-11,2026-09-12,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
120,2026-09-11,2026-09-12,final,Boga,Ituri,2,2,,100.0,
120,2026-09-11,2026-09-12,final,Kambala,Ituri,2,0,123772,0.0,1.6
120,2026-09-11,2026-09-12,final,Rungu,Haut-Uele,2,1,,50.0,
120,2026-09-11,2026-09-12,final,Bulu,Sud-Ubangi,1,1,,100.0,
120,2026-09-11,2026-09-12,final,Buta,Bas-Uele,1,1,,100.0,
120,2026-09-11,2026-09-12,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
120,2026-09-11,2026-09-12,final,Kayna,Nord-Kivu,1,0,,0.0,
120,2026-09-11,2026-09-12,final,Lubunga,Tshopo,1,0,,0.0,
120,2026-09-11,2026-09-12,final,Tshopo,Tshopo,1,0,,0.0,
120,2026-09-11,2026-09-12,final,Viadana,Bas-Uele,1,0,,0.0,
120,2026-09-11,2026-09-12,final,Wanie-Rukula,Tshopo,1,1,,100.0,
120,2026-09-11,2026-09-12,final,A ventiler,Ituri,,430,,,
