sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
116,2026-09-07,2026-09-08,final,Bunia,Ituri,1502,471,268128,31.4,560.2
116,2026-09-07,2026-09-08,final,Rwampara,Ituri,992,347,134068,35.0,739.9
116,2026-09-07,2026-09-08,final,Nizi,Ituri,709,273,141651,38.5,500.5
116,2026-09-07,2026-09-08,final,Mongbwalu,Ituri,638,291,133371,45.6,478.4
116,2026-09-07,2026-09-08,final,Katwa,Nord-Kivu,468,302,411346,64.5,113.8
116,2026-09-07,2026-09-08,final,Mangala,Ituri,295,141,92662,47.8,318.4
116,2026-09-07,2026-09-08,final,Lita,Ituri,245,122,128175,49.8,191.1
116,2026-09-07,2026-09-08,final,Nia-Nia,Ituri,227,115,71361,50.7,318.1
116,2026-09-07,2026-09-08,final,Butembo,Nord-Kivu,211,146,316182,69.2,66.7
116,2026-09-07,2026-09-08,final,Beni,Nord-Kivu,181,135,382409,74.6,47.3
116,2026-09-07,2026-09-08,final,Bambu,Ituri,176,39,148752,22.2,118.3
116,2026-09-07,2026-09-08,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
116,2026-09-07,2026-09-08,final,Komanda,Ituri,117,79,184816,67.5,63.3
116,2026-09-07,2026-09-08,final,Musienene,Nord-Kivu,100,54,249370,54.0,40.1
116,2026-09-07,2026-09-08,final,Isiro,Haut-Uele,92,37,,40.2,
116,2026-09-07,2026-09-08,final,Wamba,Haut-Uele,84,31,,36.9,
116,2026-09-07,2026-09-08,final,Fataki,Ituri,78,30,128262,38.5,60.8
116,2026-09-07,2026-09-08,final,Tchomia,Ituri,62,25,110386,40.3,56.2
116,2026-09-07,2026-09-08,final,Pawa,Haut-Uele,46,23,,50.0,
116,2026-09-07,2026-09-08,final,Mandima,Ituri,42,23,138196,54.8,30.4
116,2026-09-07,2026-09-08,final,Kilo,Ituri,33,12,55902,36.4,59.0
116,2026-09-07,2026-09-08,final,Damas,Ituri,30,9,116731,30.0,25.7
116,2026-09-07,2026-09-08,final,Boma Mangbetu,Haut-Uele,29,14,,48.3,
116,2026-09-07,2026-09-08,final,Lolwa,Ituri,25,7,45779,28.0,54.6
116,2026-09-07,2026-09-08,final,Kyondo,Nord-Kivu,23,15,215154,65.2,10.7
116,2026-09-07,2026-09-08,final,Kalunguta,Nord-Kivu,18,9,199559,50.0,9.0
116,2026-09-07,2026-09-08,final,Mambasa,Ituri,17,7,95906,41.2,17.7
116,2026-09-07,2026-09-08,final,Drodro,Ituri,15,7,154777,46.7,9.7
116,2026-09-07,2026-09-08,final,Masereka,Nord-Kivu,15,6,177664,40.0,8.4
116,2026-09-07,2026-09-08,final,Logo,Ituri,13,5,240552,38.5,5.4
116,2026-09-07,2026-09-08,final,Aungba,Ituri,12,5,158181,41.7,7.6
116,2026-09-07,2026-09-08,final,Adja,Ituri,11,1,,9.1,
116,2026-09-07,2026-09-08,final,Rimba,Ituri,11,4,211373,36.4,5.2
116,2026-09-07,2026-09-08,final,Mabalako,Nord-Kivu,10,7,186148,70.0,5.4
116,2026-09-07,2026-09-08,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
116,2026-09-07,2026-09-08,final,Biena,Nord-Kivu,9,4,,44.4,
116,2026-09-07,2026-09-08,final,Oicha,Nord-Kivu,9,6,336160,66.7,2.7
116,2026-09-07,2026-09-08,final,Ariwara,Ituri,8,2,,25.0,
116,2026-09-07,2026-09-08,final,Aru,Ituri,8,6,181110,75.0,4.4
116,2026-09-07,2026-09-08,final,Vuhovi,Nord-Kivu,8,4,121520,50.0,6.6
116,2026-09-07,2026-09-08,final,Gethy,Ituri,7,3,186541,42.9,3.8
116,2026-09-07,2026-09-08,final,Lubero,Nord-Kivu,6,4,,66.7,
116,2026-09-07,2026-09-08,final,Kabondo,Tshopo,4,1,,25.0,
116,2026-09-07,2026-09-08,final,Mahagi,Ituri,4,1,,25.0,
116,2026-09-07,2026-09-08,final,Manguredjipa,Nord-Kivu,4,3,,75.0,
116,2026-09-07,2026-09-08,final,Gombari,Haut-Uele,3,1,,33.3,
116,2026-09-07,2026-09-08,final,Mangobo,Tshopo,3,2,,66.7,
116,2026-09-07,2026-09-08,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
116,2026-09-07,2026-09-08,final,Bafwasende,Tshopo,2,0,,0.0,
116,2026-09-07,2026-09-08,final,Boga,Ituri,2,2,,100.0,
116,2026-09-07,2026-09-08,final,Ganga,Bas-Uele,2,2,,100.0,
116,2026-09-07,2026-09-08,final,Kambala,Ituri,2,0,123772,0.0,1.6
116,2026-09-07,2026-09-08,final,Mutwanga,Nord-Kivu,2,2,,100.0,
116,2026-09-07,2026-09-08,final,Rungu,Haut-Uele,2,1,,50.0,
116,2026-09-07,2026-09-08,final,Buta,Bas-Uele,1,1,,,
116,2026-09-07,2026-09-08,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
116,2026-09-07,2026-09-08,final,Kayna,Nord-Kivu,1,0,,0.0,
116,2026-09-07,2026-09-08,final,Lubunga,Tshopo,1,0,,0.0,
116,2026-09-07,2026-09-08,final,Tshopo,Tshopo,1,0,,0.0,
116,2026-09-07,2026-09-08,final,Viadana,Bas-Uele,1,0,,0.0,
116,2026-09-07,2026-09-08,final,Wanie-Rukula,Tshopo,1,1,,100.0,
116,2026-09-07,2026-09-08,final,A ventiler,Ituri,,387,,,
