sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
126,2026-09-17,2026-09-18,final,Bunia,Ituri,1635,512,268128,31.3,609.8
126,2026-09-17,2026-09-18,final,Rwampara,Ituri,1036,350,134068,33.8,772.7
126,2026-09-17,2026-09-18,final,Nizi,Ituri,748,274,141651,36.6,528.1
126,2026-09-17,2026-09-18,final,Mongbwalu,Ituri,676,312,133371,46.2,506.9
126,2026-09-17,2026-09-18,final,Katwa,Nord-Kivu,538,340,411346,63.2,130.8
126,2026-09-17,2026-09-18,final,Mangala,Ituri,326,146,92662,44.8,351.8
126,2026-09-17,2026-09-18,final,Lita,Ituri,269,133,128175,49.4,209.9
126,2026-09-17,2026-09-18,final,Beni,Nord-Kivu,263,186,382409,70.7,68.8
126,2026-09-17,2026-09-18,final,Nia-Nia,Ituri,253,132,71361,52.2,354.5
126,2026-09-17,2026-09-18,final,Butembo,Nord-Kivu,246,160,316182,65.0,77.8
126,2026-09-17,2026-09-18,final,Bambu,Ituri,186,39,148752,21.0,125.0
126,2026-09-17,2026-09-18,final,Komanda,Ituri,141,88,184816,62.4,76.3
126,2026-09-17,2026-09-18,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
126,2026-09-17,2026-09-18,final,Musienene,Nord-Kivu,119,64,249370,53.8,47.7
126,2026-09-17,2026-09-18,final,Isiro,Haut-Uele,98,42,,42.9,
126,2026-09-17,2026-09-18,final,Wamba,Haut-Uele,95,34,,35.8,
126,2026-09-17,2026-09-18,final,Fataki,Ituri,80,30,128262,37.5,62.4
126,2026-09-17,2026-09-18,final,Tchomia,Ituri,75,25,110386,33.3,67.9
126,2026-09-17,2026-09-18,final,Pawa,Haut-Uele,63,30,,47.6,
126,2026-09-17,2026-09-18,final,Mandima,Ituri,59,33,138196,55.9,42.7
126,2026-09-17,2026-09-18,final,Damas,Ituri,40,9,116731,22.5,34.3
126,2026-09-17,2026-09-18,final,Kalunguta,Nord-Kivu,40,13,199559,32.5,20.0
126,2026-09-17,2026-09-18,final,Boma Mangbetu,Haut-Uele,35,15,,42.9,
126,2026-09-17,2026-09-18,final,Kilo,Ituri,34,12,55902,35.3,60.8
126,2026-09-17,2026-09-18,final,Kyondo,Nord-Kivu,32,20,215154,62.5,14.9
126,2026-09-17,2026-09-18,final,Lolwa,Ituri,31,8,45779,25.8,67.7
126,2026-09-17,2026-09-18,final,Masereka,Nord-Kivu,24,9,177664,37.5,13.5
126,2026-09-17,2026-09-18,final,Mabalako,Nord-Kivu,23,10,186148,43.5,12.4
126,2026-09-17,2026-09-18,final,Mambasa,Ituri,21,9,95906,42.9,21.9
126,2026-09-17,2026-09-18,final,Vuhovi,Nord-Kivu,20,6,121520,30.0,16.5
126,2026-09-17,2026-09-18,final,Biena,Nord-Kivu,18,7,,38.9,
126,2026-09-17,2026-09-18,final,Makiso-Kisangani,Tshopo,17,7,,41.2,
126,2026-09-17,2026-09-18,final,Drodro,Ituri,15,7,154777,46.7,9.7
126,2026-09-17,2026-09-18,final,Lubero,Nord-Kivu,15,7,,46.7,
126,2026-09-17,2026-09-18,final,Logo,Ituri,13,5,240552,38.5,5.4
126,2026-09-17,2026-09-18,final,Aungba,Ituri,12,5,158181,41.7,7.6
126,2026-09-17,2026-09-18,final,Oicha,Nord-Kivu,12,10,336160,83.3,3.6
126,2026-09-17,2026-09-18,final,Rimba,Ituri,12,4,211373,33.3,5.7
126,2026-09-17,2026-09-18,final,Adja,Ituri,11,1,,9.1,
126,2026-09-17,2026-09-18,final,Manguredjipa,Nord-Kivu,10,3,,30.0,
126,2026-09-17,2026-09-18,final,Ariwara,Ituri,8,2,,25.0,
126,2026-09-17,2026-09-18,final,Aru,Ituri,8,6,181110,75.0,4.4
126,2026-09-17,2026-09-18,final,Mutwanga,Nord-Kivu,8,2,,25.0,
126,2026-09-17,2026-09-18,final,Bafwasende,Tshopo,7,1,,14.3,
126,2026-09-17,2026-09-18,final,Gethy,Ituri,7,3,186541,42.9,3.8
126,2026-09-17,2026-09-18,final,Kabondo,Tshopo,4,1,,25.0,
126,2026-09-17,2026-09-18,final,Mahagi,Ituri,4,1,,25.0,
126,2026-09-17,2026-09-18,final,Mangobo,Tshopo,4,2,,50.0,
126,2026-09-17,2026-09-18,final,Ganga,Bas-Uele,3,2,,66.7,
126,2026-09-17,2026-09-18,final,Gombari,Haut-Uele,3,1,,33.3,
126,2026-09-17,2026-09-18,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
126,2026-09-17,2026-09-18,final,Viadana,Bas-Uele,3,1,,33.3,
126,2026-09-17,2026-09-18,final,Boga,Ituri,2,2,,100.0,
126,2026-09-17,2026-09-18,final,Kambala,Ituri,2,0,123772,0.0,1.6
126,2026-09-17,2026-09-18,final,Rungu,Haut-Uele,2,1,,50.0,
126,2026-09-17,2026-09-18,final,Bulu,Sud-Ubangi,1,1,,100.0,
126,2026-09-17,2026-09-18,final,Buta,Bas-Uele,1,1,,100.0,
126,2026-09-17,2026-09-18,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
126,2026-09-17,2026-09-18,final,Kayna,Nord-Kivu,1,0,,0.0,
126,2026-09-17,2026-09-18,final,Lubunga,Tshopo,1,0,,0.0,
126,2026-09-17,2026-09-18,final,Tshopo,Tshopo,1,0,,0.0,
126,2026-09-17,2026-09-18,final,Wanie-Rukula,Tshopo,1,1,,100.0,
126,2026-09-17,2026-09-18,final,A ventiler,Ituri,,477,,,
