sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
128,2026-09-19,2026-09-20,final,Bunia,Ituri,1654,517,268128,31.3,616.9
128,2026-09-19,2026-09-20,final,Rwampara,Ituri,1046,352,134068,33.7,780.2
128,2026-09-19,2026-09-20,final,Nizi,Ituri,754,274,141651,36.3,532.3
128,2026-09-19,2026-09-20,final,Mongbwalu,Ituri,686,319,133371,46.5,514.4
128,2026-09-19,2026-09-20,final,Katwa,Nord-Kivu,542,343,411346,63.3,131.8
128,2026-09-19,2026-09-20,final,Mangala,Ituri,333,146,92662,43.8,359.4
128,2026-09-19,2026-09-20,final,Beni,Nord-Kivu,275,191,382409,69.5,71.9
128,2026-09-19,2026-09-20,final,Lita,Ituri,273,135,128175,49.5,213.0
128,2026-09-19,2026-09-20,final,Nia-Nia,Ituri,266,141,71361,53.0,372.8
128,2026-09-19,2026-09-20,final,Butembo,Nord-Kivu,252,161,316182,63.9,79.7
128,2026-09-19,2026-09-20,final,Bambu,Ituri,193,39,148752,20.2,129.7
128,2026-09-19,2026-09-20,final,Komanda,Ituri,147,89,184816,60.5,79.5
128,2026-09-19,2026-09-20,final,Nyankunde,Ituri,126,36,97949,28.6,128.6
128,2026-09-19,2026-09-20,final,Musienene,Nord-Kivu,121,65,249370,53.7,48.5
128,2026-09-19,2026-09-20,final,Wamba,Haut-Uele,99,34,,34.3,
128,2026-09-19,2026-09-20,final,Isiro,Haut-Uele,98,42,,42.9,
128,2026-09-19,2026-09-20,final,Fataki,Ituri,81,30,128262,37.0,63.2
128,2026-09-19,2026-09-20,final,Tchomia,Ituri,75,25,110386,33.3,67.9
128,2026-09-19,2026-09-20,final,Pawa,Haut-Uele,68,32,,47.1,
128,2026-09-19,2026-09-20,final,Mandima,Ituri,59,33,138196,55.9,42.7
128,2026-09-19,2026-09-20,final,Kalunguta,Nord-Kivu,43,15,199559,34.9,21.5
128,2026-09-19,2026-09-20,final,Damas,Ituri,40,9,116731,22.5,34.3
128,2026-09-19,2026-09-20,final,Boma Mangbetu,Haut-Uele,36,15,,41.7,
