sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
118,2026-09-09,2026-09-10,final,Bunia,Ituri,1528,477,268128,31.2,569.9
118,2026-09-09,2026-09-10,final,Rwampara,Ituri,1004,349,134068,34.8,748.9
118,2026-09-09,2026-09-10,final,Nizi,Ituri,726,273,141651,37.6,512.5
118,2026-09-09,2026-09-10,final,Mongbwalu,Ituri,644,294,133371,45.7,482.9
118,2026-09-09,2026-09-10,final,Katwa,Nord-Kivu,486,309,411346,63.6,118.1
118,2026-09-09,2026-09-10,final,Mangala,Ituri,309,146,92662,47.2,333.5
118,2026-09-09,2026-09-10,final,Lita,Ituri,251,123,128175,49.0,195.8
118,2026-09-09,2026-09-10,final,Nia-Nia,Ituri,229,116,71361,50.7,320.9
118,2026-09-09,2026-09-10,final,Butembo,Nord-Kivu,220,149,316182,67.7,69.6
118,2026-09-09,2026-09-10,final,Beni,Nord-Kivu,195,145,382409,74.4,51.0
118,2026-09-09,2026-09-10,final,Bambu,Ituri,177,39,148752,22.0,119.0
118,2026-09-09,2026-09-10,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
118,2026-09-09,2026-09-10,final,Komanda,Ituri,123,82,184816,66.7,66.6
118,2026-09-09,2026-09-10,final,Musienene,Nord-Kivu,103,55,249370,53.4,41.3
118,2026-09-09,2026-09-10,final,Isiro,Haut-Uele,92,38,,41.3,
118,2026-09-09,2026-09-10,final,Wamba,Haut-Uele,86,31,,36.0,
118,2026-09-09,2026-09-10,final,Fataki,Ituri,78,30,128262,38.5,60.8
118,2026-09-09,2026-09-10,final,Tchomia,Ituri,63,25,110386,39.7,57.1
118,2026-09-09,2026-09-10,final,Pawa,Haut-Uele,52,25,,48.1,
118,2026-09-09,2026-09-10,final,Mandima,Ituri,44,24,138196,54.5,31.8
118,2026-09-09,2026-09-10,final,Damas,Ituri,33,9,116731,27.3,28.3
118,2026-09-09,2026-09-10,final,Kilo,Ituri,33,12,55902,36.4,59.0
118,2026-09-09,2026-09-10,final,Lolwa,Ituri,31,8,45779,25.8,67.7
118,2026-09-09,2026-09-10,final,Boma,Haut-Uele,29,14,,48.3,
118,2026-09-09,2026-09-10,final,Kyondo,Nord-Kivu,26,17,215154,65.4,12.1
118,2026-09-09,2026-09-10,final,Kalunguta,Nord-Kivu,23,11,199559,47.8,11.5
118,2026-09-09,2026-09-10,final,Mabalako,Nord-Kivu,18,8,186148,44.4,9.7
118,2026-09-09,2026-09-10,final,Mambasa,Ituri,17,7,95906,41.2,17.7
118,2026-09-09,2026-09-10,final,Drodro,Ituri,15,7,154777,46.7,9.7
118,2026-09-09,2026-09-10,final,Masereka,Nord-Kivu,15,6,177664,40.0,8.4
118,2026-09-09,2026-09-10,final,Vuhovi,Nord-Kivu,14,5,121520,35.7,11.5
118,2026-09-09,2026-09-10,final,Logo,Ituri,13,5,240552,38.5,5.4
118,2026-09-09,2026-09-10,final,Aungba,Ituri,12,5,158181,41.7,7.6
118,2026-09-09,2026-09-10,final,Adja,Ituri,11,1,,9.1,
118,2026-09-09,2026-09-10,final,Rimba,Ituri,11,4,211373,36.4,5.2
118,2026-09-09,2026-09-10,final,Biena,Nord-Kivu,10,4,,40.0,
118,2026-09-09,2026-09-10,final,Lubero,Nord-Kivu,10,4,,40.0,
118,2026-09-09,2026-09-10,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
118,2026-09-09,2026-09-10,final,Oicha,Nord-Kivu,10,7,336160,70.0,3.0
118,2026-09-09,2026-09-10,final,Ariwara,Ituri,8,2,,25.0,
118,2026-09-09,2026-09-10,final,Aru,Ituri,8,6,181110,75.0,4.4
118,2026-09-09,2026-09-10,final,Gethy,Ituri,7,3,186541,42.9,3.8
118,2026-09-09,2026-09-10,final,Bafwasende,Tshopo,4,0,,0.0,
118,2026-09-09,2026-09-10,final,Kabondo,Tshopo,4,1,,25.0,
118,2026-09-09,2026-09-10,final,Mahagi,Ituri,4,1,,25.0,
118,2026-09-09,2026-09-10,final,Manguredjipa,Nord-Kivu,4,3,,75.0,
118,2026-09-09,2026-09-10,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
118,2026-09-09,2026-09-10,final,Mangobo,Tshopo,3,2,,66.7,
118,2026-09-09,2026-09-10,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
118,2026-09-09,2026-09-10,final,Mutwanga,Nord-Kivu,3,2,,66.7,
118,2026-09-09,2026-09-10,final,Boga,Ituri,2,2,,100.0,
118,2026-09-09,2026-09-10,final,Ganga,Bas-Uele,2,2,,100.0,
118,2026-09-09,2026-09-10,final,Kambala,Ituri,2,0,123772,0.0,1.6
118,2026-09-09,2026-09-10,final,Rungu,Haut-Uele,2,1,,50.0,
118,2026-09-09,2026-09-10,final,Buta,Bas-Uele,1,1,,100.0,
118,2026-09-09,2026-09-10,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
118,2026-09-09,2026-09-10,final,Kayna,Nord-Kivu,1,0,,0.0,
118,2026-09-09,2026-09-10,final,Lubunga,Tshopo,1,0,,0.0,
118,2026-09-09,2026-09-10,final,Tshopo,Tshopo,1,0,,0.0,
118,2026-09-09,2026-09-10,final,Viadana,Bas-Uele,1,0,,0.0,
118,2026-09-09,2026-09-10,final,Wanie-Rukula,Tshopo,1,1,,100.0,
118,2026-09-09,2026-09-10,final,A ventiler,Ituri,,415,,,
