sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
122,2026-09-13,2026-09-14,final,Bunia,Ituri,1583,505,268128,31.9,590.4
122,2026-09-13,2026-09-14,final,Rwampara,Ituri,1019,349,134068,34.2,760.1
122,2026-09-13,2026-09-14,final,Nizi,Ituri,732,273,141651,37.3,516.8
122,2026-09-13,2026-09-14,final,Mongbwalu,Ituri,663,303,133371,45.7,497.1
122,2026-09-13,2026-09-14,final,Katwa,Nord-Kivu,523,332,411346,63.5,127.1
122,2026-09-13,2026-09-14,final,Mangala,Ituri,313,146,92662,46.6,337.8
122,2026-09-13,2026-09-14,final,Lita,Ituri,262,130,128175,49.6,204.4
122,2026-09-13,2026-09-14,final,Butembo,Nord-Kivu,239,157,316182,65.7,75.6
122,2026-09-13,2026-09-14,final,Nia-Nia,Ituri,239,120,71361,50.2,334.9
122,2026-09-13,2026-09-14,final,Beni,Nord-Kivu,228,166,382409,72.8,59.6
122,2026-09-13,2026-09-14,final,Bambu,Ituri,179,39,148752,21.8,120.3
122,2026-09-13,2026-09-14,final,Komanda,Ituri,135,88,184816,65.2,73.0
122,2026-09-13,2026-09-14,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
122,2026-09-13,2026-09-14,final,Musienene,Nord-Kivu,116,63,249370,54.3,46.5
122,2026-09-13,2026-09-14,final,Isiro,Haut-Uele,97,41,,42.3,
122,2026-09-13,2026-09-14,final,Wamba,Haut-Uele,89,33,,37.1,
122,2026-09-13,2026-09-14,final,Fataki,Ituri,78,30,128262,38.5,60.8
122,2026-09-13,2026-09-14,final,Tchomia,Ituri,71,25,110386,35.2,64.3
122,2026-09-13,2026-09-14,final,Pawa,Haut-Uele,58,25,,43.1,
122,2026-09-13,2026-09-14,final,Mandima,Ituri,47,25,138196,53.2,34.0
122,2026-09-13,2026-09-14,final,Damas,Ituri,39,9,116731,23.1,33.4
122,2026-09-13,2026-09-14,final,Kilo,Ituri,33,12,55902,36.4,59.0
122,2026-09-13,2026-09-14,final,Boma,Haut-Uele,32,14,,43.8,
122,2026-09-13,2026-09-14,final,Lolwa,Ituri,31,8,45779,25.8,67.7
122,2026-09-13,2026-09-14,final,Kalunguta,Nord-Kivu,30,12,199559,40.0,15.0
122,2026-09-13,2026-09-14,final,Kyondo,Nord-Kivu,30,19,215154,63.3,13.9
122,2026-09-13,2026-09-14,final,Masereka,Nord-Kivu,20,8,177664,40.0,11.3
122,2026-09-13,2026-09-14,final,Mabalako,Nord-Kivu,19,9,186148,47.4,10.2
122,2026-09-13,2026-09-14,final,Biena,Nord-Kivu,17,7,,41.2,
122,2026-09-13,2026-09-14,final,Mambasa,Ituri,17,7,95906,41.2,17.7
122,2026-09-13,2026-09-14,final,Vuhovi,Nord-Kivu,17,5,121520,29.4,14.0
122,2026-09-13,2026-09-14,final,Drodro,Ituri,15,7,154777,46.7,9.7
122,2026-09-13,2026-09-14,final,Lubero,Nord-Kivu,15,7,,46.7,
122,2026-09-13,2026-09-14,final,Logo,Ituri,13,5,240552,38.5,5.4
122,2026-09-13,2026-09-14,final,Aungba,Ituri,12,5,158181,41.7,7.6
122,2026-09-13,2026-09-14,final,Adja,Ituri,11,1,,9.1,
122,2026-09-13,2026-09-14,final,Oicha,Nord-Kivu,11,7,336160,63.6,3.3
122,2026-09-13,2026-09-14,final,Rimba,Ituri,11,4,211373,36.4,5.2
122,2026-09-13,2026-09-14,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
122,2026-09-13,2026-09-14,final,Ariwara,Ituri,8,2,,25.0,
122,2026-09-13,2026-09-14,final,Aru,Ituri,8,6,181110,75.0,4.4
122,2026-09-13,2026-09-14,final,Manguredjipa,Nord-Kivu,8,3,,37.5,
122,2026-09-13,2026-09-14,final,Bafwasende,Tshopo,7,1,,14.3,
122,2026-09-13,2026-09-14,final,Gethy,Ituri,7,3,186541,42.9,3.8
122,2026-09-13,2026-09-14,final,Mutwanga,Nord-Kivu,6,2,,33.3,
122,2026-09-13,2026-09-14,final,Kabondo,Tshopo,4,1,,25.0,
122,2026-09-13,2026-09-14,final,Mahagi,Ituri,4,1,,25.0,
122,2026-09-13,2026-09-14,final,Mangobo,Tshopo,4,2,,50.0,
122,2026-09-13,2026-09-14,final,Ganga,Bas-Uele,3,2,,66.7,
122,2026-09-13,2026-09-14,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
122,2026-09-13,2026-09-14,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
122,2026-09-13,2026-09-14,final,Boga,Ituri,2,2,,100.0,
122,2026-09-13,2026-09-14,final,Kambala,Ituri,2,0,123772,0.0,1.6
122,2026-09-13,2026-09-14,final,Rungu,Haut-Uele,2,1,,50.0,
122,2026-09-13,2026-09-14,final,Bulu,Sud-Ubangi,1,1,,100.0,
122,2026-09-13,2026-09-14,final,Buta,Bas-Uele,1,1,,100.0,
122,2026-09-13,2026-09-14,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
122,2026-09-13,2026-09-14,final,Kayna,Nord-Kivu,1,0,,0.0,
122,2026-09-13,2026-09-14,final,Lubunga,Tshopo,1,0,,0.0,
122,2026-09-13,2026-09-14,final,Tshopo,Tshopo,1,0,,0.0,
122,2026-09-13,2026-09-14,final,Viadana,Bas-Uele,1,0,,0.0,
122,2026-09-13,2026-09-14,final,Wanie-Rukula,Tshopo,1,1,,100.0,
122,2026-09-13,2026-09-14,final,A ventiler,Ituri,,442,,,
