sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
127,2026-09-18,2026-09-19,final,Bunia,Ituri,1646,513,268128,31.2,613.9
127,2026-09-18,2026-09-19,final,Rwampara,Ituri,1043,352,134068,33.7,778.0
127,2026-09-18,2026-09-19,final,Nizi,Ituri,749,274,141651,36.6,528.8
127,2026-09-18,2026-09-19,final,Mongbwalu,Ituri,679,315,133371,46.4,509.1
127,2026-09-18,2026-09-19,final,Katwa,Nord-Kivu,540,342,411346,63.3,131.3
127,2026-09-18,2026-09-19,final,Mangala,Ituri,331,146,92662,44.1,357.2
127,2026-09-18,2026-09-19,final,Lita,Ituri,272,135,128175,49.6,212.2
127,2026-09-18,2026-09-19,final,Beni,Nord-Kivu,271,186,382409,68.6,70.9
127,2026-09-18,2026-09-19,final,Nia-Nia,Ituri,262,140,71361,53.4,367.1
127,2026-09-18,2026-09-19,final,Butembo,Nord-Kivu,249,161,316182,64.7,78.8
127,2026-09-18,2026-09-19,final,Bambu,Ituri,187,39,148752,20.9,125.7
127,2026-09-18,2026-09-19,final,Komanda,Ituri,146,89,184816,61.0,79.0
127,2026-09-18,2026-09-19,final,Nyankunde,Ituri,126,36,97949,28.6,128.6
127,2026-09-18,2026-09-19,final,Musienene,Nord-Kivu,120,65,249370,54.2,48.1
127,2026-09-18,2026-09-19,final,Isiro,Haut-Uele,98,42,,42.9,
127,2026-09-18,2026-09-19,final,Wamba,Haut-Uele,95,34,,35.8,
127,2026-09-18,2026-09-19,final,Fataki,Ituri,80,30,128262,37.5,62.4
127,2026-09-18,2026-09-19,final,Tchomia,Ituri,75,25,110386,33.3,67.9
127,2026-09-18,2026-09-19,final,Pawa,Haut-Uele,67,32,,47.8,
127,2026-09-18,2026-09-19,final,Mandima,Ituri,59,33,138196,55.9,42.7
127,2026-09-18,2026-09-19,final,Kalunguta,Nord-Kivu,41,14,199559,34.1,20.5
127,2026-09-18,2026-09-19,final,Damas,Ituri,40,9,116731,22.5,34.3
127,2026-09-18,2026-09-19,final,Boma Mangbetu,Haut-Uele,36,15,,41.7,
127,2026-09-18,2026-09-19,final,Kilo,Ituri,34,12,55902,35.3,60.8
127,2026-09-18,2026-09-19,final,Kyondo,Nord-Kivu,32,20,215154,62.5,14.9
127,2026-09-18,2026-09-19,final,Lolwa,Ituri,31,8,45779,25.8,67.7
127,2026-09-18,2026-09-19,final,Mabalako,Nord-Kivu,24,11,186148,45.8,12.9
127,2026-09-18,2026-09-19,final,Masereka,Nord-Kivu,24,9,177664,37.5,13.5
127,2026-09-18,2026-09-19,final,Mambasa,Ituri,21,9,95906,42.9,21.9
127,2026-09-18,2026-09-19,final,Vuhovi,Nord-Kivu,21,6,121520,28.6,17.3
127,2026-09-18,2026-09-19,final,Makiso-Kisangani,Tshopo,19,8,,42.1,
127,2026-09-18,2026-09-19,final,Biena,Nord-Kivu,18,7,,38.9,
127,2026-09-18,2026-09-19,final,Drodro,Ituri,15,7,154777,46.7,9.7
127,2026-09-18,2026-09-19,final,Lubero,Nord-Kivu,15,7,,46.7,
127,2026-09-18,2026-09-19,final,Logo,Ituri,13,5,240552,38.5,5.4
127,2026-09-18,2026-09-19,final,Oicha,Nord-Kivu,13,10,336160,76.9,3.9
127,2026-09-18,2026-09-19,final,Aungba,Ituri,12,5,158181,41.7,7.6
127,2026-09-18,2026-09-19,final,Rimba,Ituri,12,4,211373,33.3,5.7
127,2026-09-18,2026-09-19,final,Adja,Ituri,11,1,,9.1,
127,2026-09-18,2026-09-19,final,Manguredjipa,Nord-Kivu,10,3,,30.0,
127,2026-09-18,2026-09-19,final,Ariwara,Ituri,8,2,,25.0,
127,2026-09-18,2026-09-19,final,Aru,Ituri,8,6,181110,75.0,4.4
127,2026-09-18,2026-09-19,final,Mutwanga,Nord-Kivu,8,2,,25.0,
127,2026-09-18,2026-09-19,final,Bafwasende,Tshopo,7,1,,14.3,
127,2026-09-18,2026-09-19,final,Gethy,Ituri,7,3,186541,42.9,3.8
127,2026-09-18,2026-09-19,final,Kabondo,Tshopo,5,1,,20.0,
127,2026-09-18,2026-09-19,final,Mahagi,Ituri,4,1,,25.0,
127,2026-09-18,2026-09-19,final,Mangobo,Tshopo,4,2,,50.0,
127,2026-09-18,2026-09-19,final,Ganga,Bas-Uele,3,2,,66.7,
127,2026-09-18,2026-09-19,final,Gombari,Haut-Uele,3,1,,33.3,
127,2026-09-18,2026-09-19,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
127,2026-09-18,2026-09-19,final,Viadana,Bas-Uele,3,1,,33.3,
127,2026-09-18,2026-09-19,final,Boga,Ituri,2,2,,100.0,
127,2026-09-18,2026-09-19,final,Kambala,Ituri,2,0,123772,0.0,1.6
127,2026-09-18,2026-09-19,final,Rungu,Haut-Uele,2,1,,50.0,
127,2026-09-18,2026-09-19,final,Bulu,Sud-Ubangi,1,1,,100.0,
127,2026-09-18,2026-09-19,final,Buta,Bas-Uele,1,1,,100.0,
127,2026-09-18,2026-09-19,final,Dungu,Haut-Uele,1,1,,100.0,
127,2026-09-18,2026-09-19,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
127,2026-09-18,2026-09-19,final,Kayna,Nord-Kivu,1,0,,0.0,
127,2026-09-18,2026-09-19,final,Lubunga,Tshopo,1,0,,0.0,
127,2026-09-18,2026-09-19,final,Tshopo,Tshopo,1,0,,0.0,
127,2026-09-18,2026-09-19,final,Wanie-Rukula,Tshopo,1,1,,100.0,
127,2026-09-18,2026-09-19,final,A ventiler,Ituri,,487,,,
