sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
129,2026-09-20,2026-09-21,final,Bunia,Ituri,1662,520,268128,31.3,619.9
129,2026-09-20,2026-09-21,final,Rwampara,Ituri,1054,355,134068,33.7,786.2
129,2026-09-20,2026-09-21,final,Nizi,Ituri,756,276,141651,36.5,533.7
129,2026-09-20,2026-09-21,final,Mongbwalu,Ituri,689,321,133371,46.6,516.6
129,2026-09-20,2026-09-21,final,Katwa,Nord-Kivu,544,344,411346,63.2,132.2
129,2026-09-20,2026-09-21,final,Mangala,Ituri,337,146,92662,43.3,363.7
129,2026-09-20,2026-09-21,final,Beni,Nord-Kivu,281,197,382409,70.1,73.5
129,2026-09-20,2026-09-21,final,Lita,Ituri,275,138,128175,50.2,214.6
129,2026-09-20,2026-09-21,final,Nia-Nia,Ituri,269,145,71361,53.9,377.0
129,2026-09-20,2026-09-21,final,Butembo,Nord-Kivu,252,161,316182,63.9,79.7
129,2026-09-20,2026-09-21,final,Bambu,Ituri,196,40,148752,20.4,131.8
129,2026-09-20,2026-09-21,final,Komanda,Ituri,147,90,184816,61.2,79.5
129,2026-09-20,2026-09-21,final,Nyankunde,Ituri,127,36,97949,28.3,129.7
129,2026-09-20,2026-09-21,final,Musienene,Nord-Kivu,121,65,249370,53.7,48.5
129,2026-09-20,2026-09-21,final,Wamba,Haut-Uele,102,35,,34.3,
129,2026-09-20,2026-09-21,final,Isiro,Haut-Uele,99,43,,43.4,
129,2026-09-20,2026-09-21,final,Fataki,Ituri,81,30,128262,37.0,63.2
129,2026-09-20,2026-09-21,final,Tchomia,Ituri,75,25,110386,33.3,67.9
129,2026-09-20,2026-09-21,final,Pawa,Haut-Uele,68,32,,47.1,
129,2026-09-20,2026-09-21,final,Mandima,Ituri,59,33,138196,55.9,42.7
129,2026-09-20,2026-09-21,final,Kalunguta,Nord-Kivu,47,15,199559,31.9,23.6
129,2026-09-20,2026-09-21,final,Damas,Ituri,40,9,116731,22.5,34.3
129,2026-09-20,2026-09-21,final,Boma Mangbetu,Haut-Uele,36,15,,41.7,
129,2026-09-20,2026-09-21,final,Kilo,Ituri,34,12,55902,35.3,60.8
129,2026-09-20,2026-09-21,final,Kyondo,Nord-Kivu,32,20,215154,62.5,14.9
129,2026-09-20,2026-09-21,final,Lolwa,Ituri,31,8,45779,25.8,67.7
129,2026-09-20,2026-09-21,final,Masereka,Nord-Kivu,25,9,177664,36.0,14.1
129,2026-09-20,2026-09-21,final,Vuhovi,Nord-Kivu,25,6,121520,24.0,20.6
129,2026-09-20,2026-09-21,final,Mabalako,Nord-Kivu,24,11,186148,45.8,12.9
129,2026-09-20,2026-09-21,final,Mambasa,Ituri,21,9,95906,42.9,21.9
129,2026-09-20,2026-09-21,final,Lubero,Nord-Kivu,20,10,,50.0,
129,2026-09-20,2026-09-21,final,Makiso-Kisangani,Tshopo,20,9,,45.0,
129,2026-09-20,2026-09-21,final,Biena,Nord-Kivu,18,7,,38.9,
129,2026-09-20,2026-09-21,final,Drodro,Ituri,15,7,154777,46.7,9.7
129,2026-09-20,2026-09-21,final,Oicha,Nord-Kivu,14,11,336160,78.6,4.2
