sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
131,2026-09-22,2026-09-23,final,Bunia,Ituri,1678,528,268128,31.5,625.8
131,2026-09-22,2026-09-23,final,Rwampara,Ituri,1061,359,134068,33.8,791.4
131,2026-09-22,2026-09-23,final,Nizi,Ituri,762,276,141651,36.2,537.9
131,2026-09-22,2026-09-23,final,Mongbwalu,Ituri,692,323,133371,46.7,518.9
131,2026-09-22,2026-09-23,final,Katwa,Nord-Kivu,548,348,411346,63.5,133.2
131,2026-09-22,2026-09-23,final,Mangala,Ituri,341,149,92662,43.7,368.0
131,2026-09-22,2026-09-23,final,Beni,Nord-Kivu,292,204,382409,69.9,76.4
131,2026-09-22,2026-09-23,final,Lita,Ituri,276,138,128175,50.0,215.3
131,2026-09-22,2026-09-23,final,Nia-Nia,Ituri,269,149,71361,55.4,377.0
131,2026-09-22,2026-09-23,final,Butembo,Nord-Kivu,253,162,316182,64.0,80.0
131,2026-09-22,2026-09-23,final,Bambu,Ituri,197,41,148752,20.8,132.4
131,2026-09-22,2026-09-23,final,Komanda,Ituri,153,93,184816,60.8,82.8
131,2026-09-22,2026-09-23,final,Nyankunde,Ituri,127,37,97949,29.1,129.7
131,2026-09-22,2026-09-23,final,Musienene,Nord-Kivu,121,65,249370,53.7,48.5
131,2026-09-22,2026-09-23,final,Wamba,Haut-Uele,105,36,,34.3,
131,2026-09-22,2026-09-23,final,Isiro,Haut-Uele,99,43,,43.4,
131,2026-09-22,2026-09-23,final,Fataki,Ituri,81,30,128262,37.0,63.2
131,2026-09-22,2026-09-23,final,Tchomia,Ituri,75,25,110386,33.3,67.9
131,2026-09-22,2026-09-23,final,Pawa,Haut-Uele,70,33,,47.1,
131,2026-09-22,2026-09-23,final,Mandima,Ituri,66,36,138196,54.5,47.8
131,2026-09-22,2026-09-23,final,Kalunguta,Nord-Kivu,49,16,199559,32.7,24.6
131,2026-09-22,2026-09-23,final,Damas,Ituri,40,9,116731,22.5,34.3
131,2026-09-22,2026-09-23,final,Boma Mangbetu,Haut-Uele,36,15,,41.7,
131,2026-09-22,2026-09-23,final,Kilo,Ituri,34,12,55902,35.3,60.8
131,2026-09-22,2026-09-23,final,Kyondo,Nord-Kivu,32,20,215154,62.5,14.9
