sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
130,2026-09-21,2026-09-22,final,Bunia,Ituri,1666,523,268128,31.4,621.3
130,2026-09-21,2026-09-22,final,Rwampara,Ituri,1056,358,134068,33.9,787.7
130,2026-09-21,2026-09-22,final,Nizi,Ituri,761,276,141651,36.3,537.2
130,2026-09-21,2026-09-22,final,Mongbwalu,Ituri,691,322,133371,46.6,518.1
130,2026-09-21,2026-09-22,final,Katwa,Nord-Kivu,544,344,411346,63.2,132.2
130,2026-09-21,2026-09-22,final,Mangala,Ituri,341,149,92662,43.7,368.0
130,2026-09-21,2026-09-22,final,Beni,Nord-Kivu,289,204,382409,70.6,75.6
130,2026-09-21,2026-09-22,final,Lita,Ituri,276,138,128175,50.0,215.3
130,2026-09-21,2026-09-22,final,Nia-Nia,Ituri,269,148,71361,55.0,377.0
130,2026-09-21,2026-09-22,final,Butembo,Nord-Kivu,253,162,316182,64.0,80.0
130,2026-09-21,2026-09-22,final,Bambu,Ituri,196,41,148752,20.9,131.8
130,2026-09-21,2026-09-22,final,Komanda,Ituri,147,91,184816,61.9,79.5
130,2026-09-21,2026-09-22,final,Nyankunde,Ituri,127,36,97949,28.3,129.7
130,2026-09-21,2026-09-22,final,Musienene,Nord-Kivu,121,65,249370,53.7,48.5
130,2026-09-21,2026-09-22,final,Wamba,Haut-Uele,105,36,,34.3,
130,2026-09-21,2026-09-22,final,Isiro,Haut-Uele,99,43,,43.4,
130,2026-09-21,2026-09-22,final,Fataki,Ituri,81,30,128262,37.0,63.2
130,2026-09-21,2026-09-22,final,Tchomia,Ituri,75,25,110386,33.3,67.9
130,2026-09-21,2026-09-22,final,Pawa,Haut-Uele,70,32,,45.7,
130,2026-09-21,2026-09-22,final,Mandima,Ituri,59,33,138196,55.9,42.7
130,2026-09-21,2026-09-22,final,Kalunguta,Nord-Kivu,49,16,199559,32.7,24.6
130,2026-09-21,2026-09-22,final,Damas,Ituri,40,9,116731,22.5,34.3
130,2026-09-21,2026-09-22,final,Boma Mangbetu,Haut-Uele,36,15,,41.7,
130,2026-09-21,2026-09-22,final,Kilo,Ituri,34,12,55902,35.3,60.8
130,2026-09-21,2026-09-22,final,Kyondo,Nord-Kivu,32,20,215154,62.5,14.9
130,2026-09-21,2026-09-22,final,Lolwa,Ituri,31,8,45779,25.8,67.7
130,2026-09-21,2026-09-22,final,Vuhovi,Nord-Kivu,26,7,121520,26.9,21.4
130,2026-09-21,2026-09-22,final,Masereka,Nord-Kivu,25,9,177664,36.0,14.1
130,2026-09-21,2026-09-22,final,Mabalako,Nord-Kivu,24,11,186148,45.8,12.9
130,2026-09-21,2026-09-22,final,Makiso-Kisangani,Tshopo,22,9,,40.9,
130,2026-09-21,2026-09-22,final,Mambasa,Ituri,22,9,95906,40.9,22.9
130,2026-09-21,2026-09-22,final,Lubero,Nord-Kivu,20,10,,50.0,
130,2026-09-21,2026-09-22,final,Biena,Nord-Kivu,18,7,,38.9,
130,2026-09-21,2026-09-22,final,Drodro,Ituri,15,7,154777,46.7,9.7
130,2026-09-21,2026-09-22,final,Oicha,Nord-Kivu,14,11,336160,78.6,4.2
130,2026-09-21,2026-09-22,final,Logo,Ituri,13,5,240552,38.5,5.4
130,2026-09-21,2026-09-22,final,Aungba,Ituri,12,5,158181,41.7,7.6
130,2026-09-21,2026-09-22,final,Manguredjipa,Nord-Kivu,12,4,,33.3,
130,2026-09-21,2026-09-22,final,Rimba,Ituri,12,4,211373,33.3,5.7
130,2026-09-21,2026-09-22,final,Adja,Ituri,11,1,,9.1,
130,2026-09-21,2026-09-22,final,Mutwanga,Nord-Kivu,9,2,,22.2,
130,2026-09-21,2026-09-22,final,Ariwara,Ituri,8,2,,25.0,
130,2026-09-21,2026-09-22,final,Aru,Ituri,8,6,181110,75.0,4.4
130,2026-09-21,2026-09-22,final,Bafwasende,Tshopo,7,1,,14.3,
130,2026-09-21,2026-09-22,final,Gethy,Ituri,7,3,186541,42.9,3.8
130,2026-09-21,2026-09-22,final,Kabondo,Tshopo,5,1,,20.0,
130,2026-09-21,2026-09-22,final,Mangobo,Tshopo,5,3,,60.0,
130,2026-09-21,2026-09-22,final,Mahagi,Ituri,4,1,,25.0,
130,2026-09-21,2026-09-22,final,Ganga,Bas-Uele,3,2,,66.7,
130,2026-09-21,2026-09-22,final,Gombari,Haut-Uele,3,1,,33.3,
130,2026-09-21,2026-09-22,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
130,2026-09-21,2026-09-22,final,Viadana,Bas-Uele,3,1,,33.3,
130,2026-09-21,2026-09-22,final,Boga,Ituri,2,2,,100.0,
130,2026-09-21,2026-09-22,final,Kambala,Ituri,2,0,123772,0.0,1.6
130,2026-09-21,2026-09-22,final,Rungu,Haut-Uele,2,1,,50.0,
130,2026-09-21,2026-09-22,final,Bulu,Sud-Ubangi,1,1,,100.0,
130,2026-09-21,2026-09-22,final,Buta,Bas-Uele,1,1,,100.0,
130,2026-09-21,2026-09-22,final,Dungu,Haut-Uele,1,1,,100.0,
130,2026-09-21,2026-09-22,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
130,2026-09-21,2026-09-22,final,Kayna,Nord-Kivu,1,0,,0.0,
130,2026-09-21,2026-09-22,final,Lubunga,Tshopo,1,0,,0.0,
130,2026-09-21,2026-09-22,final,Tshopo,Tshopo,1,0,,0.0,
130,2026-09-21,2026-09-22,final,Wanie-Rukula,Tshopo,1,1,,100.0,
130,2026-09-21,2026-09-22,final,A ventiler,Ituri,,493,,,
