sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
121,2026-09-12,2026-09-13,final,Bunia,Ituri,1564,495,268128,31.6,583.3
121,2026-09-12,2026-09-13,final,Rwampara,Ituri,1013,349,134068,34.5,755.6
121,2026-09-12,2026-09-13,final,Nizi,Ituri,729,273,141651,37.4,514.6
121,2026-09-12,2026-09-13,final,Mongbwalu,Ituri,658,298,133371,45.3,493.4
121,2026-09-12,2026-09-13,final,Katwa,Nord-Kivu,523,332,411346,63.5,127.1
121,2026-09-12,2026-09-13,final,Mangala,Ituri,312,146,92662,46.8,336.7
121,2026-09-12,2026-09-13,final,Lita,Ituri,259,127,128175,49.0,202.1
121,2026-09-12,2026-09-13,final,Nia-Nia,Ituri,237,120,71361,50.6,332.1
121,2026-09-12,2026-09-13,final,Butembo,Nord-Kivu,236,152,316182,64.4,74.6
121,2026-09-12,2026-09-13,final,Beni,Nord-Kivu,222,162,382409,73.0,58.1
121,2026-09-12,2026-09-13,final,Bambu,Ituri,179,39,148752,21.8,120.3
121,2026-09-12,2026-09-13,final,Komanda,Ituri,132,88,184816,66.7,71.4
121,2026-09-12,2026-09-13,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
121,2026-09-12,2026-09-13,final,Musienene,Nord-Kivu,115,62,249370,53.9,46.1
121,2026-09-12,2026-09-13,final,Isiro,Haut-Uele,96,41,,42.7,
121,2026-09-12,2026-09-13,final,Wamba,Haut-Uele,89,33,,37.1,
121,2026-09-12,2026-09-13,final,Fataki,Ituri,78,30,128262,38.5,60.8
121,2026-09-12,2026-09-13,final,Tchomia,Ituri,69,25,110386,36.2,62.5
121,2026-09-12,2026-09-13,final,Pawa,Haut-Uele,57,25,,43.9,
121,2026-09-12,2026-09-13,final,Mandima,Ituri,47,25,138196,53.2,34.0
121,2026-09-12,2026-09-13,final,Damas,Ituri,39,9,116731,23.1,33.4
121,2026-09-12,2026-09-13,final,Kilo,Ituri,33,12,55902,36.4,59.0
121,2026-09-12,2026-09-13,final,Boma,Haut-Uele,32,14,,43.8,
121,2026-09-12,2026-09-13,final,Lolwa,Ituri,31,8,45779,25.8,67.7
121,2026-09-12,2026-09-13,final,Kalunguta,Nord-Kivu,30,12,199559,40.0,15.0
121,2026-09-12,2026-09-13,final,Kyondo,Nord-Kivu,29,18,215154,62.1,13.5
121,2026-09-12,2026-09-13,final,Masereka,Nord-Kivu,20,8,177664,40.0,11.3
121,2026-09-12,2026-09-13,final,Mabalako,Nord-Kivu,19,9,186148,47.4,10.2
121,2026-09-12,2026-09-13,final,Mambasa,Ituri,17,7,95906,41.2,17.7
121,2026-09-12,2026-09-13,final,Vuhovi,Nord-Kivu,17,5,121520,29.4,14.0
121,2026-09-12,2026-09-13,final,Biena,Nord-Kivu,16,7,,43.8,
121,2026-09-12,2026-09-13,final,Drodro,Ituri,15,7,154777,46.7,9.7
121,2026-09-12,2026-09-13,final,Lubero,Nord-Kivu,15,7,,46.7,
121,2026-09-12,2026-09-13,final,Logo,Ituri,13,5,240552,38.5,5.4
121,2026-09-12,2026-09-13,final,Aungba,Ituri,12,5,158181,41.7,7.6
121,2026-09-12,2026-09-13,final,Adja,Ituri,11,1,,9.1,
121,2026-09-12,2026-09-13,final,Oicha,Nord-Kivu,11,7,336160,63.6,3.3
121,2026-09-12,2026-09-13,final,Rimba,Ituri,11,4,211373,36.4,5.2
121,2026-09-12,2026-09-13,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
121,2026-09-12,2026-09-13,final,Ariwara,Ituri,8,2,,25.0,
121,2026-09-12,2026-09-13,final,Aru,Ituri,8,6,181110,75.0,4.4
121,2026-09-12,2026-09-13,final,Manguredjipa,Nord-Kivu,8,3,,37.5,
121,2026-09-12,2026-09-13,final,Bafwasende,Tshopo,7,1,,14.3,
121,2026-09-12,2026-09-13,final,Gethy,Ituri,7,3,186541,42.9,3.8
121,2026-09-12,2026-09-13,final,Mutwanga,Nord-Kivu,6,2,,33.3,
121,2026-09-12,2026-09-13,final,Kabondo,Tshopo,4,1,,25.0,
121,2026-09-12,2026-09-13,final,Mahagi,Ituri,4,1,,25.0,
121,2026-09-12,2026-09-13,final,Mangobo,Tshopo,4,2,,50.0,
121,2026-09-12,2026-09-13,final,Ganga,Bas-Uele,3,2,,66.7,
121,2026-09-12,2026-09-13,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
121,2026-09-12,2026-09-13,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
121,2026-09-12,2026-09-13,final,Boga,Ituri,2,2,,100.0,
121,2026-09-12,2026-09-13,final,Kambala,Ituri,2,0,123772,0.0,1.6
121,2026-09-12,2026-09-13,final,Rungu,Haut-Uele,2,1,,50.0,
121,2026-09-12,2026-09-13,final,Bulu,Sud-Ubangi,1,1,,100.0,
121,2026-09-12,2026-09-13,final,Buta,Bas-Uele,1,1,,100.0,
121,2026-09-12,2026-09-13,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
121,2026-09-12,2026-09-13,final,Kayna,Nord-Kivu,1,0,,0.0,
121,2026-09-12,2026-09-13,final,Lubunga,Tshopo,1,0,,0.0,
121,2026-09-12,2026-09-13,final,Tshopo,Tshopo,1,0,,0.0,
121,2026-09-12,2026-09-13,final,Viadana,Bas-Uele,1,0,,0.0,
121,2026-09-12,2026-09-13,final,Wanie-Rukula,Tshopo,1,1,,100.0,
121,2026-09-12,2026-09-13,final,A ventiler,Ituri,,436,,,
