sitrep_number,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
123,2026-09-14,2026-09-15,final,Bunia,Ituri,1603,508,268128,31.7,597.8
123,2026-09-14,2026-09-15,final,Rwampara,Ituri,1026,349,134068,34.0,765.3
123,2026-09-14,2026-09-15,final,Nizi,Ituri,737,273,141651,37.0,520.3
123,2026-09-14,2026-09-15,final,Mongbwalu,Ituri,666,305,133371,45.8,499.4
123,2026-09-14,2026-09-15,final,Katwa,Nord-Kivu,533,337,411346,63.2,129.6
123,2026-09-14,2026-09-15,final,Mangala,Ituri,315,146,92662,46.3,339.9
123,2026-09-14,2026-09-15,final,Lita,Ituri,264,130,128175,49.2,206.0
123,2026-09-14,2026-09-15,final,Nia-Nia,Ituri,245,126,71361,51.4,343.3
123,2026-09-14,2026-09-15,final,Butembo,Nord-Kivu,240,157,316182,65.4,75.9
123,2026-09-14,2026-09-15,final,Beni,Nord-Kivu,231,170,382409,73.6,60.4
123,2026-09-14,2026-09-15,final,Bambu,Ituri,179,39,148752,21.8,120.3
123,2026-09-14,2026-09-15,final,Komanda,Ituri,136,88,184816,64.7,73.6
123,2026-09-14,2026-09-15,final,Nyankunde,Ituri,125,36,97949,28.8,127.6
123,2026-09-14,2026-09-15,final,Musienene,Nord-Kivu,117,64,249370,54.7,46.9
123,2026-09-14,2026-09-15,final,Isiro,Haut-Uele,98,42,,42.9,
123,2026-09-14,2026-09-15,final,Wamba,Haut-Uele,92,33,,35.9,
123,2026-09-14,2026-09-15,final,Fataki,Ituri,78,30,128262,38.5,60.8
123,2026-09-14,2026-09-15,final,Tchomia,Ituri,73,25,110386,34.2,66.1
123,2026-09-14,2026-09-15,final,Pawa,Haut-Uele,61,26,,42.6,
123,2026-09-14,2026-09-15,final,Mandima,Ituri,56,31,138196,55.4,40.5
123,2026-09-14,2026-09-15,final,Damas,Ituri,39,9,116731,23.1,33.4
123,2026-09-14,2026-09-15,final,Boma,Haut-Uele,34,15,,44.1,
123,2026-09-14,2026-09-15,final,Kilo,Ituri,33,12,55902,36.4,59.0
123,2026-09-14,2026-09-15,final,Kalunguta,Nord-Kivu,32,12,199559,37.5,16.0
123,2026-09-14,2026-09-15,final,Lolwa,Ituri,31,8,45779,25.8,67.7
123,2026-09-14,2026-09-15,final,Kyondo,Nord-Kivu,30,19,215154,63.3,13.9
123,2026-09-14,2026-09-15,final,Masereka,Nord-Kivu,21,9,177664,42.9,11.8
123,2026-09-14,2026-09-15,final,Mabalako,Nord-Kivu,19,9,186148,47.4,10.2
123,2026-09-14,2026-09-15,final,Biena,Nord-Kivu,18,7,,38.9,
123,2026-09-14,2026-09-15,final,Vuhovi,Nord-Kivu,18,5,121520,27.8,14.8
123,2026-09-14,2026-09-15,final,Mambasa,Ituri,17,7,95906,41.2,17.7
123,2026-09-14,2026-09-15,final,Drodro,Ituri,15,7,154777,46.7,9.7
123,2026-09-14,2026-09-15,final,Lubero,Nord-Kivu,15,7,,46.7,
123,2026-09-14,2026-09-15,final,Logo,Ituri,13,5,240552,38.5,5.4
123,2026-09-14,2026-09-15,final,Aungba,Ituri,12,5,158181,41.7,7.6
123,2026-09-14,2026-09-15,final,Adja,Ituri,11,1,,9.1,
123,2026-09-14,2026-09-15,final,Oicha,Nord-Kivu,11,7,336160,63.6,3.3
123,2026-09-14,2026-09-15,final,Rimba,Ituri,11,4,211373,36.4,5.2
123,2026-09-14,2026-09-15,final,Makiso-Kisangani,Tshopo,10,5,,50.0,
123,2026-09-14,2026-09-15,final,Manguredjipa,Nord-Kivu,9,3,,33.3,
123,2026-09-14,2026-09-15,final,Ariwara,Ituri,8,2,,25.0,
123,2026-09-14,2026-09-15,final,Aru,Ituri,8,6,181110,75.0,4.4
123,2026-09-14,2026-09-15,final,Bafwasende,Tshopo,7,1,,14.3,
123,2026-09-14,2026-09-15,final,Gethy,Ituri,7,3,186541,42.9,3.8
123,2026-09-14,2026-09-15,final,Mutwanga,Nord-Kivu,6,2,,33.3,
123,2026-09-14,2026-09-15,final,Kabondo,Tshopo,4,1,,25.0,
123,2026-09-14,2026-09-15,final,Mahagi,Ituri,4,1,,25.0,
123,2026-09-14,2026-09-15,final,Mangobo,Tshopo,4,2,,50.0,
123,2026-09-14,2026-09-15,final,Ganga,Bas-Uele,3,2,,66.7,
123,2026-09-14,2026-09-15,final,Mangbetu Gombari,Haut-Uele,3,1,,33.3,
123,2026-09-14,2026-09-15,final,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
123,2026-09-14,2026-09-15,final,Boga,Ituri,2,2,,100.0,
123,2026-09-14,2026-09-15,final,Kambala,Ituri,2,0,123772,0.0,1.6
123,2026-09-14,2026-09-15,final,Rungu,Haut-Uele,2,1,,50.0,
123,2026-09-14,2026-09-15,final,Bulu,Sud-Ubangi,1,1,,100.0,
123,2026-09-14,2026-09-15,final,Buta,Bas-Uele,1,1,,100.0,
123,2026-09-14,2026-09-15,final,Goma,Nord-Kivu,1,0,251728,0.0,0.4
123,2026-09-14,2026-09-15,final,Kayna,Nord-Kivu,1,0,,0.0,
123,2026-09-14,2026-09-15,final,Lubunga,Tshopo,1,0,,0.0,
123,2026-09-14,2026-09-15,final,Tshopo,Tshopo,1,0,,0.0,
123,2026-09-14,2026-09-15,final,Viadana,Bas-Uele,1,0,,0.0,
123,2026-09-14,2026-09-15,final,Wanie-Rukula,Tshopo,1,1,,100.0,
123,2026-09-14,2026-09-15,final,A ventiler,Ituri,,446,,,
