publication_date,data_cutoff_date,level,province,region,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_suspected_cases,suspected_cases_under_investigation,suspected_cases_in_isolation,cumulative_suspected_deaths
2026-06-23,2026-06-22,Province,Ituri,Ituri,997,226,N/A,N/A,148,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Bunia,296,48,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Rwampara,225,37,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Mongbwalu,237,100,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Nyankunde,86,9,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Nizi,30,6,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Lita,24,6,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Komanda,10,3,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Bambu,14,2,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Kilo,7,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Mangala,14,6,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Tchomia,8,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Damas,4,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Aungba,6,2,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Rimba,3,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Aru,3,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Mambasa,2,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Logo,5,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Drodro,1,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Gety,1,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Kambala,1,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Nia-Nia,2,2,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Fataki,1,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,Ituri,Other zones not yet identified,17,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Province,North Kivu,North Kivu,94,50,N/A,N/A,39,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Butembo,28,13,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Katwa,32,19,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Beni,20,12,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Oicha,3,2,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Kalunguta,2,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Kyondo,3,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Goma,1,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Masereka,1,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Vuhovi,1,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Mabalako,1,0,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Health zone,North Kivu,Musienene,2,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Province,South Kivu,South Kivu,3,1,N/A,N/A,10,N/A
2026-06-23,2026-06-22,Health zone,South Kivu,Miti-Murhesa,3,1,N/A,N/A,N/A,N/A
2026-06-23,2026-06-22,Total,All provinces,TOTAL,1094,277,N/A,N/A,197,N/A
